Продукт,Калорийность,Белки,Жиры,Углеводы
"Окунь жареный, по 1-336",180 кКал,"20,6 г","9,1 г",4 г
"Окунь запеченный, по 1-374",103 кКал,"6,8 г","4,7 г","8,4 г"
Окунь морской (сибас),103 кКал,"18,2 г","3,3 г",0 г
"Окунь морской (сибас) отварной, по 1-338",112 кКал,"19,9 г","3,6 г",0 г
"Окунь морской (сибас) тушеный, по 1-364",120 кКал,"10,9 г","6,6 г","4,2 г"
"Окунь морской атлантический (золотистый, обыкновенный)",79 кКал,"15,31 г","1,54 г",0 г
"Окунь морской атлантический (золотистый, обыкновенный), приготовленный на жару",96 кКал,"18,51 г","1,87 г",0 г
Окунь морской холодного копчения,199 кКал,"26,4 г","10,4 г",0 г
"Окунь морской, все виды",97 кКал,"18,43 г",2 г,0 г
"Окунь морской, приготовленный на жару",124 кКал,"23,63 г","2,56 г",0 г
"Окунь морской, тихоокеанский клювач",90 кКал,"18,36 г","1,34 г",0 г
"Окунь морской, тихоокеанский клювач, приготовленный на жару",109 кКал,"22,23 г","1,62 г",0 г
"Окунь полосатый (полосатый басс, или полосатый лаврак), приготовленный на жару",124 кКал,"22,73 г","2,99 г",0 г
"Окунь полосатый (полосатый басс, или полосатый лаврак), сырой",97 кКал,"17,73 г","2,33 г",0 г
"Окунь пресноводный, все виды, приготовленный на жару",146 кКал,"24,18 г","4,73 г",0 г
"Окунь пресноводный, все виды, сырой",114 кКал,"18,86 г","3,69 г",0 г
"Окунь припущенный, по 1-348",109 кКал,"19,5 г","3,5 г",0 г
Окунь речной,91 кКал,"19,39 г","0,92 г",0 г
Окунь речной,82 кКал,"18,5 г","0,9 г",0 г
"Окунь речной, приготовленный на жару",117 кКал,"24,86 г","1,18 г",0 г
"Окунь фаршированный, по 1-360",130 кКал,"14,9 г","6,1 г","3,9 г"
"Омар северный, приготовленный на пару",89 кКал,19 г,"0,86 г",0 г
"Омар северный, сырой",77 кКал,"16,52 г","0,75 г",0 г
Омуль,152 кКал,"19,2 г","8,3 г",0 г
Осетр в томатном соусе. Консервы,164 кКал,"14,4 г","11,8 г","3,3 г"
"Осетр жареный во фритюре, по 1-372",273 кКал,16 г,"17,4 г","13,2 г"
Осетр каспийский и азово-черноморский,164 кКал,"16,4 г","10,9 г",0 г
Осетр консервированный,163 кКал,"16,4 г","10,6 г",0 г
"Осетр отварной, по 1-344",179 кКал,"17,7 г",12 г,0 г
"Осетр припущенный, по 1-350",179 кКал,"17,8 г","11,9 г",0 г
"Осетр холодного копчения, теша",302 кКал,"17,6 г","25,7 г",0 г
"Осетр, все виды, копченый",173 кКал,"31,2 г","4,4 г",0 г
"Осетр, все виды, приготовленный на жару",135 кКал,"20,7 г","5,18 г",0 г
"Осетр, все виды, сырой",105 кКал,"16,14 г","4,04 г",0 г
"Осетр, сибирский",202 кКал,"15,8 г","15,4 г",0 г
"Осьминог обыкновенный, приготовленный на пару",164 кКал,"29,82 г","2,08 г","4,4 г"
"Осьминог обыкновенный, сырой",82 кКал,"14,91 г","1,04 г","2,2 г"
Ошибень,72 кКал,"16,7 г","0,6 г",0 г
Пагрус,106 кКал,"19,8 г",3 г,0 г
Палтус (Аляска),116 кКал,"20,53 г","2,92 г","1,81 г"
Палтус белокорый,103 кКал,"18,9 г",3 г,0 г
Палтус черный,196 кКал,"12,8 г","16,1 г",0 г
"Палтус, атлантический и тихоокеанский, приготовленный на жару",111 кКал,"22,54 г","1,61 г",0 г
"Палтус, атлантический и тихоокеанский, сырой",91 кКал,"18,56 г","1,33 г",0 г
"Палтус, приготовленный (Аляска)",113 кКал,"22,13 г","2,73 г",0 г
"Палтус, черный, приготовленный на жару",239 кКал,"18,42 г","17,74 г",0 г
"Палтус, черный, сырой",186 кКал,"14,37 г","13,84 г",0 г
"Паста ""Океан""",92 кКал,"13,6 г","4,2 г",0 г
Пеламида,217 кКал,"22,4 г","14,2 г",0 г
"Песчанка радужная (корюшка американская), приготовленная на жару",124 кКал,"22,6 г","3,1 г",0 г
"Песчанка радужная (корюшка американская), сырая",97 кКал,"17,63 г","2,42 г",0 г
"Печень белуги, сырая, (Аляска)",117 кКал,"18,4 г","3,9 г",2 г
Печень зубастого терпуга (Аляска),424 кКал,"5,6 г",42 г,6 г
"Печень моржа, сырая, (Аляска)",125 кКал,21 г,3 г,"3,5 г"
Печень трески. Консервы,613 кКал,"4,2 г","65,7 г","1,2 г"
Печень чавычи (Аляска),156 кКал,"16,6 г",8 г,"4,3 г"
Печень щуки северной (Аляска),156 кКал,"16,6 г",8 г,"4,3 г"
"Печень, сиговые, чир (Аляска)",104 кКал,11 г,"4,4 г","5,1 г"
Пикша,73 кКал,"17,2 г","0,5 г",0 г
"Пикша, копченая",116 кКал,"25,23 г","0,96 г",0 г
"Пикша, приготовленная, приготовленная на жару",90 кКал,"19,99 г","0,55 г",0 г
"Пикша, сырая",74 кКал,"16,32 г","0,45 г",0 г
Плотва сибирская (сорога),110 кКал,19 г,"3,8 г",0 г
Полосатый тунец,103 кКал,22 г,"1,01 г",0 г
"Полосатый тунец, приготовленный на жару",132 кКал,"28,21 г","1,29 г",0 г
"Помпано флоридский, приготовленный на жару",211 кКал,"23,69 г","12,14 г",0 г
"Помпано флоридский, сырой",164 кКал,"18,48 г","9,47 г",0 г
Пристипома,88 кКал,"19,6 г","1,1 г",0 г
Псенопсис,92 кКал,"14,6 г","3,7 г",0 г
"Пузанок, приготовленный на жару",252 кКал,"21,71 г","17,65 г",0 г
"Пузанок, сырой",197 кКал,"16,93 г","13,77 г",0 г
Путассу,82 кКал,"18,5 г","0,9 г",0 г
"Путассу, приготовленный на жару",116 кКал,"23,48 г","1,69 г",0 г
"Путассу, смешанные виды, сырой",90 кКал,"18,31 г","1,31 г",0 г
Пыжьян,113 кКал,18 г,"4,6 г",0 г
"Радужная форель (Микижа), вареная, консервированная, (Аляска)",159 кКал,"21,11 г","8,26 г",0 г
"Радужная форель (Микижа), сушеная, мясо (Shoshone Bannock)",382 кКал,"77,27 г","8,06 г",0 г
"Рак речной, дикий",77 кКал,"15,97 г","0,95 г",0 г
"Рак речной, дикий, приготовленный на пару",82 кКал,"16,77 г","1,2 г",0 г
"Рак речной, фермерский",72 кКал,"14,85 г","0,97 г",0 г
"Рак речной, фермерский, приготовленный на пару",87 кКал,"17,52 г","1,3 г",0 г
"Раки морские (лангуст, омар)",89 кКал,"18,8 г","1,3 г","0,5 г"
"Раки морские (лангуст, омар) вареные",90 кКал,"20,5 г","0,7 г","0,3 г"
Раки речные,76 кКал,"15,5 г",1 г,"1,2 г"
Раки речные вареные,97 кКал,"20,3 г","1,3 г",1 г
"Ручьевая форель, Нью-Йоркская",110 кКал,"21,23 г","2,73 г",0 г
Рыба молочная,148 кКал,"20,53 г","6,73 г",0 г
"Рыба молочная, приготовленная на жару",190 кКал,"26,32 г","8,63 г",0 г
"Рыба фаршированная, в сладком соусе",84 кКал,"9,07 г","1,73 г","7,41 г"
Рыба-капитан,92 кКал,"19,4 г","1,6 г",0 г
Рыба-лист,110 кКал,"20,3 г","3,2 г",0 г
"Рыба-луна с семенами тыквы, приготовленная на жару",114 кКал,"24,87 г","0,9 г",0 г
"Рыба-луна с семенами тыквы, сырая",89 кКал,"19,4 г","0,7 г",0 г
Рыба-меч,144 кКал,"19,66 г","6,65 г",0 г
"Рыба-меч, приготовленная на жару",172 кКал,"23,45 г","7,93 г",0 г
Рыба-сабля,106 кКал,"19,3 г","3,2 г",0 г
Рыбец азово-черноморский холодного копчения,222 кКал,"28,6 г",12 г,0 г
"Рыбец, азово-черноморский",139 кКал,"18,2 г","7,4 г",0 г
"Рыбец, каспийский",98 кКал,"19,2 г","2,4 г",0 г
"Рыбные полуфабрикаты, замороженные, разогретые",277 кКал,"11,01 г","16,23 г","20,16 г"
"Ряпушка сибирская, енисейская",149 кКал,17 г,9 г,0 г
"Ряпушка сибирская, обская",107 кКал,"19,2 г","3,3 г",0 г
Сазан,97 кКал,"18,2 г","2,7 г",0 г
Сазан азовский,121 кКал,"18,4 г","5,3 г",0 г
Сазан в томатном соусе. Консервы,143 кКал,"12,4 г","8,7 г","3,5 г"
Сайда,81 кКал,"19,1 г","0,5 г",0 г
"Сайда атлантическая, приготовленная на жару",118 кКал,"24,92 г","1,26 г",0 г
"Сайда атлантическая, сырая",92 кКал,"19,44 г","0,98 г",0 г
Сайра,205 кКал,"19,5 г","14,1 г",0 г
"Сайра бланшированная в масле, консервы",283 кКал,"18,3 г","23,3 г",0 г
Салака,125 кКал,17 г,"6,3 г",0 г
Салака горячего копчения,152 кКал,"25,4 г","5,6 г",0 г
"Салат из окуня, по 1-80",182 кКал,"4,7 г","15,7 г","5,5 г"
Салат из тунца,187 кКал,"16,04 г","9,26 г","9,41 г"
Салилота (бротола),73 кКал,"16,5 г","0,8 г",0 г
"Сардина атлантическая, консервы в масле",208 кКал,"24,62 г","11,45 г",0 г
Сардина океаническая,166 кКал,19 г,10 г,0 г
"Сардина тихоокеанская, консервированная в томатном соусе",185 кКал,"20,86 г","10,45 г","0,44 г"
"Сардины атлантические в масле, консервы",249 кКал,"17,9 г","19,7 г",0 г
"Сардины дальневосточные в масле, консервы",272 кКал,"17,2 г","22,6 г",0 г
"Сардины каспийские в масле, консервы",223 кКал,16 г,"17,7 г",0 г
Севрюга,160 кКал,"16,9 г","10,3 г",0 г
Севрюга в томатном соусе. Консервы,178 кКал,16 г,"11,4 г","2,6 г"
"Севрюга припущенная, по 1-350",173 кКал,"18,2 г","11,2 г",0 г
Сельдь атлантическая,158 кКал,"17,96 г","9,04 г",0 г
